"Comuna","demanda_total"
"13101",149424857.638144
"13102",14152710.1302764
"13103",14072049.4940287
"13104",12091143.6648738
"13105",17171469.5128256
"13106",35998910.1023512
"13107",35183794.0781034
"13108",18851168.7191135
"13109",22448298.537019
"13110",110107945.276826
"13111",9411958.5848527
"13112",12868660.8142709
"13113",82283390.3414773
"13114",347866566.360738
"13115",108779004.72627
"13116",8455942.5128099
"13117",8511882.60812406
"13118",41729023.7404934
"13119",121715179.910271
"13120",198402128.731112
"13121",14507629.1736198
"13122",76443041.550915
"13123",249628299.284446
"13124",51816765.2640473
"13125",40040736.0369235
"13126",21309877.5493103
"13127",30372024.0669175
"13128",12359800.8825581
"13129",20391745.6746993
"13130",51230568.2573337
"13131",8635559.64677586
"13132",183801060.671112
"13201",112068115.980787
"13202",20435238.7853658
"13203",10336786.9408579
"13301",27431283.4753656
"13302",16824475.0119639
"13303",3278722.0255003
"13401",54231098.1730332
"13402",22334467.3724214
"13403",7224300.35014976
"13404",15905425.6946532
"13501",20165721.5750925
"13502",4653045.77955182
"13503",8869350.0133616
"13504",3314495.4482631
"13505",3390889.7196514
"13601",15415552.7876032
"13602",4465852.87970286
"13603",8644532.86539686
"13604",20643725.0817789
"13605",23323242.4303662
