"geocodigo","demanda_total","n_personas"
"13101011001",209160429.154601,2172
"13101011002",228300245.405289,2241
"13101011003",225599610.306402,2199
"13101011004",184438014.964212,1866
"13101011005",181483610.073638,1781
"13101021001",303781639.61426,3448
"13101021002",289517805.250135,2846
"13101021003",283666801.532268,2780
"13101021004",271260672.744218,3318
"13101021005",160878378.812424,2227
"13101021006",219937796.58498,2461
"13101021007",188696102.925227,2336
"13101021008",139424235.612028,1479
"13101031001",211461580.95439,2279
"13101031002",575185267.037807,5917
"13101031003",506617277.830734,5007
"13101031004",365874140.448636,3799
"13101031005",159160223.131676,1775
"13101031006",171412408.205836,1723
"13101031007",284484987.914409,2980
"13101041001",227430283.051928,2826
"13101041002",219992303.316342,2666
"13101041003",228400629.170385,2714
"13101041004",230973429.550453,2839
"13101041005",208796197.232804,2584
"13101051001",252201814.043631,3095
"13101051002",259268561.258762,4429
"13101051003",148583733.214181,2266
"13101061001",313146096.942806,3986
"13101061002",327026918.628488,4742
"13101061003",201420179.540898,2866
"13101071001",315919811.99159,5065
"13101071002",198075995.108375,3453
"13101071003",250579934.865114,3401
"13101081001",251383326.205375,3764
"13101081002",319653834.814076,5219
"13101081003",224526657.743143,3387
"13101081004",158560060.661232,2672
"13101091001",212469293.999086,3388
"13101091002",221699954.859442,3333
"13101091003",239800068.462618,3253
"13101091004",187155516.136909,2955
"13101101001",243048269.81681,2534
"13101101002",184209196.782525,1883
"13101101003",265499777.207362,2736
"13101101004",263894819.807628,2449
"13101101005",186276247.886767,1845
"13101101006",136066661.662507,1390
"13101101007",328255400.442773,3008
"13101101008",173864690.818849,1628
"13101101009",158262662.287244,1427
"13101101010",308322299.288185,2949
"13101111001",240960385.26006,2606
"13101111002",283003182.728008,2603
"13101111003",233490514.648764,2238
"13101111004",199896558.771346,1983
"13101111005",213500211.623558,2018
"13101111006",175936999.432578,1717
"13101111007",182966914.375227,1819
"13101111008",254428475.908167,2535
"13101111009",350765873.427155,3405
"13101111010",286731567.727317,2612
"13101111011",164466874.978172,1603
"13101111012",435998193.476754,4003
"13101111013",331428033.684708,3179
"13101111014",175369429.708194,1908
"13101111015",265860415.436688,2724
"13101111016",275963192.776129,2499
"13101111017",166369309.762963,1772
"13101111018",297060852.838977,2740
"13101111019",265721676.266037,2495
"13101121001",206250046.734399,2320
"13101121002",184714394.89947,1811
"13101121003",218590441.017883,2052
"13101121004",445342111.540581,4439
"13101121005",157043450.932555,2042
"13101121006",318954062.427215,3275
"13101121007",260783216.304756,3092
"13101121008",486256536.49882,4663
"13101121009",503949362.433515,4414
"13101131001",179415604.140481,1830
"13101131002",179311672.983105,1753
"13101131003",416007559.541213,3925
"13101131004",243270786.33821,2421
"13101131005",318733033.998612,3665
"13101131006",218017940.718367,2211
"13101131007",307076697.858802,2963
"13101131008",332190333.447828,3053
"13101131009",370888513.468992,3539
"13101141001",284396150.364586,4369
"13101141002",277056712.179899,3038
"13101141003",403285725.63038,4030
"13101151001",324833828.169294,4733
"13101151002",355917476.571521,3942
"13101151003",282447133.831583,3541
"13101151004",131500078.319061,1997
"13101161001",276842840.94214,2612
"13101161002",412022064.072482,5321
"13101161003",504264881.461563,5351
"13101171001",366635456.22225,5612
"13101171002",244663227.056996,3708
"13101171003",134132583.132847,2542
"13101181001",309634268.445979,4258
"13101181002",219630296.895019,4002
"13101191001",366991410.503812,4918
"13101191002",330793597.154333,4754
"13101191003",432957485.867499,5593
"13101201001",208680463.340253,2960
"13101201002",101109797.983436,2014
"13101201003",147558742.169558,3035
"13101211001",215973166.070407,4116
"13101211002",232368629.184475,3444
"13101221001",571951552.916464,11074
"13101231001",257604179.071346,3540
"13101241001",179810665.014855,3365
"13101241002",265080196.443872,4838
"13101251001",267089787.982765,5111
"13101261001",152128686.324804,2910
"13101271001",316475780.460927,3978
"13101271002",278205774.89088,3389
"13101271003",286376057.34777,3429
"13101271004",283816212.153629,3814
"13101281001",105791132.636596,1210
"13101281002",261188031.36324,2855
"13101281003",321713745.317608,3367
"13101281004",174824371.147132,1785
"13101281005",301840922.177086,3224
"13101281006",268168936.978879,2704
"13101291001",77823413.612846,1016
"13101991999",91151898.3160376,1683
"13102011001",92660379.0235133,2515
"13102011002",104865152.684643,3351
"13102011003",206652670.015689,4650
"13102011004",248200041.25128,5624
"13102021001",95340563.2705822,2850
"13102021002",131853114.38141,3884
"13102021003",76250937.2023711,2377
"13102021004",87012223.9605572,2653
"13102031001",194658956.455878,5756
"13102031002",134328761.83003,4356
"13102031003",132133925.432244,4026
"13102031004",101549155.147193,3142
"13102031005",128530654.577311,4285
"13102031006",105741491.308699,3370
"13102031007",130608575.194074,4164
"13102041001",184620633.178089,4773
"13102041002",148531059.254295,4696
"13102041003",106409342.559731,3122
"13102041004",133677883.008441,3764
"13102041005",94793991.0583088,2622
"13102041006",171263420.52225,4717
"13102991999",4234753.57904517,135
"13103011001",62756613.6178888,2287
"13103011002",68509657.6669254,2443
"13103011003",95698554.4692966,3583
"13103011004",110053767.534031,4049
"13103011005",132192337.330535,4803
"13103011006",93581620.5222146,3425
"13103021001",138762658.024411,5141
"13103021002",69948644.0293435,2603
"13103021003",45700066.137619,1722
"13103021004",84082221.978023,3218
"13103021005",99912810.4915685,3907
"13103031001",100174961.463372,3622
"13103031002",102026119.854405,3712
"13103031003",88130220.106693,3421
"13103041001",79523825.9913235,2941
"13103041002",90773692.0597286,3410
"13103041003",122751015.464605,4903
"13103051001",140918757.072448,5093
"13103051002",136059651.175966,5032
"13103061001",67844900.6061933,2603
"13103061002",68680616.6307662,2645
"13103061003",66813762.477072,2435
"13103061004",78160753.2934287,2950
"13103071001",69338701.2328617,2603
"13103071002",102229648.820106,3747
"13103071003",127694697.171603,4800
